compound_id,inchikey,molecule_chembl_ids,canonical_smiles,murcko_scaffold,pIC50,n_measurements,pIC50_iqr,document_year_min,document_year_max
TRAIN_00549,CMVSHDLTAZDAKH-WQMGSUCASA-N,CHEMBL3918558,COC1CCC2(CC1)Cc1ccc(OCC3CC3)cc1[C@@]21N=C(N)N(C(C)C)C1=O,O=C1NC=NC12c1cc(OCC3CC3)ccc1CC21CCCCC1,6.07,1,0.0,2015,2015
TRAIN_00550,CMYIUDXGRYVNQW-UHFFFAOYSA-N,CHEMBL1090027,CN1C(=O)C(c2ccncc2)(c2cccc(-c3cccnc3F)c2)N=C1N,O=C1NC=NC1(c1ccncc1)c1cccc(-c2cccnc2)c1,7.52,1,0.0,2010,2010
TRAIN_00551,CNIAUYCZKVMECC-UNZYHPAISA-N,CHEMBL3672444,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1cn(Cc2ccccc2)c2ccccc12,O=C(C=Cc1ccccc1)CC(=O)C=Cc1cn(Cc2ccccc2)c2ccccc12,5.64,1,0.0,2015,2015
TRAIN_00552,CNJOYBDRTQWXKI-JWGNHWIISA-N,CHEMBL1163400,CC1=C(C(=O)NOCc2ccccc2)C(C)C(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)=C(C)N1S(C)(=O)=O,O=C(NOCc1ccccc1)C1=CNC=C(C(=O)NC(CCNC2CC2)Cc2ccccc2)C1,4.83,1,0.0,2010,2010
TRAIN_00553,CNOMMSMRXLJNKB-IBGZPJMESA-N,CHEMBL3653426,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)CCOCC(N)=N3)c2)nc1,O=C(Nc1cccc(C2CCOCC=N2)c1)c1ccccn1,7.57,1,0.0,2014,2014
TRAIN_00554,CNPPSYRJSKDYBM-OYFGVDPJSA-N,CHEMBL507541,O=C(N[C@@H](Cc1ccccc1)[C@H](O)C(=O)Nc1cccc(-c2nn[nH]n2)c1)c1cc(I)cc(C(=O)N2COC[C@@H]2c2ccc(F)cc2)n1,O=C(CC(Cc1ccccc1)NC(=O)c1cccc(C(=O)N2COCC2c2ccccc2)n1)Nc1cccc(-c2nn[nH]n2)c1,8.0,1,0.0,2009,2009
TRAIN_00555,CNPSOKHTVYNFTA-XRVGGGAJSA-N,CHEMBL364446,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@H](C(=O)O)C(C)C,C1CCCC1,6.72,1,0.0,2005,2005
TRAIN_00556,CNRMICCPHFMZEF-DRXONWLQSA-N,CHEMBL3972526,CO[C@H]1CC[C@]2(CC1)Cc1ccc(-n3ccccc3=O)cc1C21N=C(N)N(C)C1=O,O=C1NC=NC12c1cc(-n3ccccc3=O)ccc1CC21CCCCC1,6.34,1,0.0,2014,2014
TRAIN_00557,CNTBNKNPMIFGMN-UHFFFAOYSA-N,CHEMBL571728,CCCCNC(=O)NCc1ccc(CN2C(=N)NC(CCC3CCCCC3)(CC(C)C)C2=O)cc1,N=C1NC(CCC2CCCCC2)C(=O)N1Cc1ccccc1,5.52,1,0.0,2010,2010
TRAIN_00558,CNZCEJXBVKWORI-ASCAXBQDSA-N,CHEMBL565550,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](Nc2cccnc2)NC1,c1ccc(CCCCNC2(c3ccccc3)CCC(Nc3cccnc3)NC2)cc1,6.3,1,0.0,2009,2009
