compound_id,inchikey,molecule_chembl_ids,canonical_smiles,murcko_scaffold,n_measurements,pIC50_iqr,document_year_min,document_year_max,scaffold_novel
EXT_00016,AEVZKOWCUVUFJD-SOPRDPFNSA-N,CHEMBL6032650,COC[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3cnc(OC(C)C(F)(F)F)cn3)ccc1F)N=C(N)S2,C(=Cc1cnccn1)c1cccc(C2N=CSC3CC32)c1,1,0.0,2019,2019,1
EXT_00017,AEWDEIZUNAQJFJ-SZAHLOSFSA-N,CHEMBL4858894,CC(C)(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)CC(c2ccccc2)c2ccccc2)c1,O=C(CC(c1ccccc1)c1ccccc1)NC(CCNCc1ccccc1)Cc1ccccc1,1,0.0,2021,2021,1
EXT_00018,AFNVVBKBUOQYFZ-UHFFFAOYSA-N,CHEMBL5289994,COc1ccc(C(=O)N2Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3CC2=O)cc1,O=C1Cc2cc(N3C(=O)c4ccccc4C3=O)ccc2CN1C(=O)c1ccccc1,1,0.0,2021,2021,1
EXT_00019,AFQJGQCQKMRZCS-BXJCWQANSA-N,CHEMBL6006870,NC1=N[C@](CF)(c2cc(NC(=O)c3cnc(C(F)F)cn3)ccc2F)[C@H]2COCC[C@H]2O1,O=C(Nc1cccc(C2N=COC3CCOCC32)c1)c1cnccn1,1,0.0,2023,2023,1
EXT_00020,AFTWTRHAYWBSST-ONGRUHMKSA-N,CHEMBL5747136,N#Cc1cnc(C#Cc2ccc(F)c([C@@]3(CF)N=C(N)S[C@@]4(/C=C/C(=O)N5CCOCC5)C[C@H]43)c2)nc1,O=C(C=CC12CC1C(c1cccc(C#Cc3ncccn3)c1)N=CS2)N1CCOCC1,1,0.0,2021,2021,1
EXT_00021,AGDPSYPPGBDUIX-UHFFFAOYSA-N,CHEMBL4764465,Oc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,c1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,1,0.0,2020,2020,1
EXT_00022,AGYZHWLVQUIXGN-IBGZPJMESA-N,CHEMBL4128770,Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(F)c([C@]2(C(F)F)COCC(N)=N2)c1,O=C(Nc1cccc(C2COCC=N2)c1)c1ccccn1,2,0.175,2018,2018,0
EXT_00023,AHOCSRKOXSHDRM-SGSMAQGXSA-N,CHEMBL5885749,COC[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3cnc(OCC4CCC4)cn3)ccc1F)N=C(N)S2,C(=Cc1cnc(OCC2CCC2)cn1)c1cccc(C2N=CSC3CC32)c1,1,0.0,2019,2019,1
EXT_00024,AHRDHDBNZVWQLM-UHFFFAOYSA-N,CHEMBL4474090,Cc1ccc(-c2cccc(C3(c4ccccc4)N=C(N)N(C)C3=O)c2)c(F)c1,O=C1NC=NC1(c1ccccc1)c1cccc(-c2ccccc2)c1,1,0.0,2019,2019,1
EXT_00025,AHTIQAIERQCYSY-LKXBDJSQSA-N,CHEMBL5901978,CN(C)C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3cn4cc(C#N)ccc4n3)ccc1F)N=C(N)S2,C(=Cc1cn2ccccc2n1)c1cccc(C2N=CSC3CC32)c1,1,0.0,2019,2019,1
EXT_00026,AIYXFVKSPTWDCO-UHFFFAOYSA-N,CHEMBL5790815,COC1CCC2(CC1)Cc1ccc(Br)cc1C21N=C(SCC2CCO2)N(CC2CCO2)C1=O,O=C1N(CC2CCO2)C(SCC2CCO2)=NC12c1ccccc1CC21CCCCC1,1,0.0,2019,2019,1
EXT_00027,AIZXNBSBKNIVRU-ONKNPGDHSA-N,CHEMBL4853052,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CC(C)C)[C@H](O)CNC1CCCCCCC1,O=C(CCc1cccs1)NCCCNC1CCCCCCC1,1,0.0,2021,2021,1
EXT_00028,AJIXLYDRPLVPBI-ZDDLIGRPSA-N,CHEMBL5825745,C[C@@H]1C[C@H]2OC(N)=N[C@](CF)(c3cc(NC(=O)c4cnc(OCF)cn4)cc(F)c3F)[C@H]2CO1,O=C(Nc1cccc(C2N=COC3CCOCC32)c1)c1cnccn1,1,0.0,2023,2023,1
EXT_00029,AJUXRFXPZUJIDR-UHFFFAOYSA-N,CHEMBL5912710,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCC(Cc2ccccc2)CC1,C1=NC2(ON1)c1cc(-c3ccccc3)ccc1CC21CCC(Cc2ccccc2)CC1,1,0.0,2019,2019,0
EXT_00030,AKCDDYGYIGPEKL-JQOQJDEVSA-N,CHEMBL3951810,Cc1cn(-c2ccc3n(c2=O)CCN([C@@H](C)[C@@H]2CC[C@H](c4cc(F)c(Cl)cc4C(F)(F)F)O2)C3=O)cn1,O=C1c2ccc(-n3ccnc3)c(=O)n2CCN1CC1CCC(c2ccccc2)O1,1,0.0,2022,2022,1
EXT_00032,AKNYYQPERGPUHJ-LLYJTOGPSA-N,CHEMBL5815170,C[C@]1(c2cc(/C=C(\F)c3cnc(OCCF)cn3)ccc2F)N=C(N)[C@@]2(CF)CC[C@@H]1S2(=O)=O,O=S1(=O)C2C=NC(c3cccc(C=Cc4cnccn4)c3)C1CC2,2,0.205,2021,2021,1
EXT_00033,AKZOFLGCSPMBPS-YAQNKXQCSA-N,CHEMBL5192597,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccc(O)cc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,O=C(CCC(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)OCc1ccccc1)NCC(=O)NCC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1,1,0.0,2022,2022,0
EXT_00034,ALGFXATVXBZEBW-SRZZPIQSSA-N,CHEMBL5280671,COc1cc(O)cc(-c2cc3ccc(O)c(C/C=C(\C)CCC=C(C)C)c3o2)c1CC=C(C)C,c1ccc(-c2cc3ccccc3o2)cc1,1,0.0,2021,2021,1
EXT_00039,AMESWUXBYLEHJV-FGZHOGPDSA-N,CHEMBL5823983,CC1=N[C@]2(C[C@@]3(CCCOC3)Oc3ccc(-c4ccc(F)c(Cl)c4)cc32)N=C1N,C1=NC2(CC3(CCCOC3)Oc3ccc(-c4ccccc4)cc32)N=C1,1,0.0,2018,2018,0
EXT_00040,AMESWUXBYLEHJV-VXKWHMMOSA-N,CHEMBL5964410,CC1=N[C@@]2(C[C@]3(CCCOC3)Oc3ccc(-c4ccc(F)c(Cl)c4)cc32)N=C1N,C1=NC2(CC3(CCCOC3)Oc3ccc(-c4ccccc4)cc32)N=C1,1,0.0,2018,2018,0
EXT_00041,AMQMDYSQBPWZOO-UHFFFAOYSA-N,CHEMBL5906449,CC(C)N1C(=O)NC2(C1=O)c1cc(Br)ccc1CC21CCc2ccccc2CC1,O=C1NC(=O)C2(N1)c1ccccc1CC21CCc2ccccc2CC1,1,0.0,2019,2019,0
EXT_00042,AMSUFMIKAVJJHZ-NZUJZPRYSA-N,CHEMBL5992796,CNC(=O)[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(OC(F)(F)F)cn3)ccc1F)N=C(N)S2,C(=Cc1ccccn1)c1cccc(C2N=CSC3CC32)c1,1,0.0,2019,2019,1
EXT_00043,AMWCDMOOTAVMSV-FQEVSTJZSA-N,CHEMBL5085412,C[C@@]1(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)Cn2nc(C#N)cc2C(N)=N1,O=C(Nc1cccc(C2Cn3nccc3C=N2)c1)c1ccccn1,1,0.0,2022,2022,1
EXT_00044,ANGXZIGMAIVISG-UHFFFAOYSA-N,CHEMBL5209049,Cn1cc(CN(C(=O)CCCN2C(N)=Nc3ccc(Oc4ccccc4)cc3C2CC2CCCCC2)C2CCCCC2)cn1,O=C(CCCN1C=Nc2ccc(Oc3ccccc3)cc2C1CC1CCCCC1)N(Cc1cn[nH]c1)C1CCCCC1,2,0.27,2022,2022,1
EXT_00045,ANHVBBGBJUVDKT-LPYMAVHISA-N,CHEMBL4568615,Fc1ccc(/C=N/C2CCN(Cc3ccccc3)CC2)c(F)c1,C(=NC1CCN(Cc2ccccc2)CC1)c1ccccc1,1,0.0,2019,2019,1
EXT_00046,ANNGDRKIZUKLFR-WUFINQPMSA-N,CHEMBL4860617,CC(C)(C)CNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)CC(c1ccccc1)c1ccccc1,O=C(CC(c1ccccc1)c1ccccc1)NCCc1ccccc1,1,0.0,2021,2021,1
EXT_00047,ANTDWUJSWGGYRX-UHFFFAOYSA-N,CHEMBL6003414,CN1C(=O)C(c2ccc(OC(F)F)cc2)(c2cccc(-c3cncnc3)c2)N=C1N,O=C1NC=NC1(c1ccccc1)c1cccc(-c2cncnc2)c1,1,0.0,2021,2021,0
EXT_00048,ANZWDZCQSKZTPF-HARCJINFSA-N,CHEMBL4848236,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CC(C)C)[C@H](O)CNc1cccc(CC(=O)O)c1,O=C(CCc1cccs1)NCCCNc1ccccc1,1,0.0,2021,2021,1
EXT_00049,AOKKWUDSGZAXHM-HSWNYDEUSA-N,CHEMBL5909032,CN(C)C(=O)/C=C/[C@]12C[C@H]1[C@@](CF)(c1cc(C#Cc3ccc(C#N)cn3)ccc1F)N=C(N)S2,C(#Cc1ccccn1)c1cccc(C2N=CSC3CC32)c1,1,0.0,2021,2021,1
EXT_00050,APCLACYAMMYMOQ-BRAWNXGXSA-N,CHEMBL6006668,CC1(C)C(N)=N[C@](C)(c2cc(/C=C(\F)c3cnc(OCC(F)(F)F)cn3)ccc2F)CS1(=O)=O,O=S1(=O)CC=NC(c2cccc(C=Cc3cnccn3)c2)C1,2,0.27,2021,2021,1
