policy,seed,n_queried,cumulative_high_activity_found,recall,best_pIC50_sofar
surrogate_active_search,8,80,14,0.17721518987341772,9.0
surrogate_active_search,8,90,15,0.189873417721519,9.0
surrogate_active_search,8,100,16,0.20253164556962025,9.0
surrogate_active_search,8,110,19,0.24050632911392406,9.0
surrogate_active_search,8,120,19,0.24050632911392406,9.0
surrogate_active_search,8,130,20,0.25316455696202533,9.0
surrogate_active_search,8,140,22,0.27848101265822783,9.0
surrogate_active_search,8,150,24,0.3037974683544304,9.0
surrogate_active_search,9,30,3,0.0379746835443038,8.8538723
surrogate_active_search,9,40,6,0.0759493670886076,8.8538723
surrogate_active_search,9,50,8,0.10126582278481013,8.8538723
surrogate_active_search,9,60,14,0.17721518987341772,9.004365
surrogate_active_search,9,70,17,0.21518987341772153,9.004365
surrogate_active_search,9,80,21,0.26582278481012656,9.004365
surrogate_active_search,9,90,23,0.2911392405063291,9.004365
surrogate_active_search,9,100,27,0.34177215189873417,9.004365
surrogate_active_search,9,110,31,0.3924050632911392,9.004365
surrogate_active_search,9,120,33,0.4177215189873418,9.004365
surrogate_active_search,9,130,34,0.43037974683544306,9.004365
surrogate_active_search,9,140,35,0.4430379746835443,9.004365
surrogate_active_search,9,150,37,0.46835443037974683,9.004365
surrogate_active_search,10,30,0,0.0,8.1549015
surrogate_active_search,10,40,0,0.0,8.1549015
surrogate_active_search,10,50,1,0.012658227848101266,8.4685211
surrogate_active_search,10,60,1,0.012658227848101266,8.4685211
surrogate_active_search,10,70,1,0.012658227848101266,8.4685211
surrogate_active_search,10,80,3,0.0379746835443038,8.4948502
surrogate_active_search,10,90,4,0.05063291139240506,8.7212467
surrogate_active_search,10,100,9,0.11392405063291139,9.0
surrogate_active_search,10,110,16,0.20253164556962025,9.004365
surrogate_active_search,10,120,16,0.20253164556962025,9.004365
surrogate_active_search,10,130,16,0.20253164556962025,9.004365
surrogate_active_search,10,140,19,0.24050632911392406,9.004365
surrogate_active_search,10,150,20,0.25316455696202533,9.004365
surrogate_active_search,11,30,1,0.012658227848101266,8.3979397
surrogate_active_search,11,40,6,0.0759493670886076,9.004365
surrogate_active_search,11,50,9,0.11392405063291139,9.004365
surrogate_active_search,11,60,13,0.16455696202531644,9.004365
surrogate_active_search,11,70,14,0.17721518987341772,9.004365
surrogate_active_search,11,80,14,0.17721518987341772,9.004365
surrogate_active_search,11,90,15,0.189873417721519,9.004365
surrogate_active_search,11,100,21,0.26582278481012656,9.004365
surrogate_active_search,11,110,26,0.3291139240506329,9.004365
surrogate_active_search,11,120,27,0.34177215189873417,9.004365
surrogate_active_search,11,130,30,0.379746835443038,9.0506096
surrogate_active_search,11,140,30,0.379746835443038,9.0506096
surrogate_active_search,11,150,33,0.4177215189873418,9.0506096
