policy,seed,n_queried,cumulative_high_activity_found,recall,best_pIC50_sofar
surrogate_active_search,2,30,2,0.02531645569620253,8.5228786
surrogate_active_search,2,40,2,0.02531645569620253,8.5228786
surrogate_active_search,2,50,4,0.05063291139240506,8.6989698
surrogate_active_search,2,60,7,0.08860759493670886,8.6989698
surrogate_active_search,2,70,10,0.12658227848101267,8.6989698
surrogate_active_search,2,80,12,0.1518987341772152,8.6989698
surrogate_active_search,2,90,14,0.17721518987341772,8.6989698
surrogate_active_search,2,100,14,0.17721518987341772,8.6989698
surrogate_active_search,2,110,14,0.17721518987341772,8.6989698
surrogate_active_search,2,120,14,0.17721518987341772,8.6989698
surrogate_active_search,2,130,15,0.189873417721519,8.6989698
surrogate_active_search,2,140,16,0.20253164556962025,9.0
surrogate_active_search,2,150,20,0.25316455696202533,9.0
surrogate_active_search,3,30,0,0.0,8.3010302
surrogate_active_search,3,40,0,0.0,8.3010302
surrogate_active_search,3,50,1,0.012658227848101266,8.5228786
surrogate_active_search,3,60,1,0.012658227848101266,8.5228786
surrogate_active_search,3,70,2,0.02531645569620253,8.8538723
surrogate_active_search,3,80,3,0.0379746835443038,8.8538723
surrogate_active_search,3,90,10,0.12658227848101267,9.0
surrogate_active_search,3,100,11,0.13924050632911392,9.1549015
surrogate_active_search,3,110,13,0.16455696202531644,10.522879
surrogate_active_search,3,120,14,0.17721518987341772,10.522879
surrogate_active_search,3,130,14,0.17721518987341772,10.522879
surrogate_active_search,3,140,15,0.189873417721519,10.522879
surrogate_active_search,3,150,15,0.189873417721519,10.522879
surrogate_active_search,4,30,0,0.0,7.6903696
surrogate_active_search,4,40,0,0.0,8.0087738
surrogate_active_search,4,50,1,0.012658227848101266,8.4948502
surrogate_active_search,4,60,3,0.0379746835443038,8.7212467
surrogate_active_search,4,70,5,0.06329113924050633,8.7212467
surrogate_active_search,4,80,9,0.11392405063291139,9.0
surrogate_active_search,4,90,14,0.17721518987341772,9.004365
surrogate_active_search,4,100,17,0.21518987341772153,9.004365
surrogate_active_search,4,110,19,0.24050632911392406,9.004365
surrogate_active_search,4,120,19,0.24050632911392406,9.004365
surrogate_active_search,4,130,21,0.26582278481012656,9.004365
surrogate_active_search,4,140,25,0.31645569620253167,9.004365
surrogate_active_search,4,150,27,0.34177215189873417,9.004365
surrogate_active_search,5,30,2,0.02531645569620253,9.0
surrogate_active_search,5,40,8,0.10126582278481013,9.0
surrogate_active_search,5,50,10,0.12658227848101267,9.0
surrogate_active_search,5,60,12,0.1518987341772152,9.0
surrogate_active_search,5,70,12,0.1518987341772152,9.0
surrogate_active_search,5,80,14,0.17721518987341772,9.0
surrogate_active_search,5,90,19,0.24050632911392406,9.0
surrogate_active_search,5,100,20,0.25316455696202533,9.0
surrogate_active_search,5,110,22,0.27848101265822783,9.0
surrogate_active_search,5,120,23,0.2911392405063291,9.0
surrogate_active_search,5,130,25,0.31645569620253167,9.1549015
surrogate_active_search,5,140,29,0.3670886075949367,9.1549015
surrogate_active_search,5,150,34,0.43037974683544306,9.1549015
surrogate_active_search,6,30,2,0.02531645569620253,9.004365
surrogate_active_search,6,40,7,0.08860759493670886,9.004365
surrogate_active_search,6,50,11,0.13924050632911392,9.004365
surrogate_active_search,6,60,14,0.17721518987341772,9.004365
surrogate_active_search,6,70,16,0.20253164556962025,9.004365
surrogate_active_search,6,80,17,0.21518987341772153,9.004365
surrogate_active_search,6,90,19,0.24050632911392406,9.004365
surrogate_active_search,6,100,19,0.24050632911392406,9.004365
surrogate_active_search,6,110,21,0.26582278481012656,9.004365
surrogate_active_search,6,120,23,0.2911392405063291,9.1549015
surrogate_active_search,6,130,26,0.3291139240506329,9.1549015
surrogate_active_search,6,140,27,0.34177215189873417,9.1549015
surrogate_active_search,6,150,32,0.4050632911392405,9.1549015
surrogate_active_search,7,30,3,0.0379746835443038,10.522879
surrogate_active_search,7,40,8,0.10126582278481013,10.522879
surrogate_active_search,7,50,10,0.12658227848101267,10.522879
surrogate_active_search,7,60,13,0.16455696202531644,10.522879
surrogate_active_search,7,70,13,0.16455696202531644,10.522879
surrogate_active_search,7,80,14,0.17721518987341772,10.522879
surrogate_active_search,7,90,16,0.20253164556962025,10.522879
surrogate_active_search,7,100,21,0.26582278481012656,10.522879
surrogate_active_search,7,110,23,0.2911392405063291,10.522879
surrogate_active_search,7,120,26,0.3291139240506329,10.522879
surrogate_active_search,7,130,28,0.35443037974683544,10.522879
surrogate_active_search,7,140,29,0.3670886075949367,10.522879
surrogate_active_search,7,150,29,0.3670886075949367,10.522879
surrogate_active_search,8,30,3,0.0379746835443038,8.6989698
surrogate_active_search,8,40,5,0.06329113924050633,8.6989698
surrogate_active_search,8,50,7,0.08860759493670886,8.6989698
surrogate_active_search,8,60,8,0.10126582278481013,8.6989698
surrogate_active_search,8,70,10,0.12658227848101267,9.0
